日期,小时,模型充电量(度),订单充电量(度),差异(模型-订单)(度)
20260609,19:00,18.85,15.8975,2.9525
20260609,20:00,89.225,76.1348,13.0902
20260609,21:00,77.65,70.6116,7.0384
20260609,22:00,66.05,54.6085,11.4415
20260609,23:00,79.7,36.9728,42.7272
20260610,00:00,214.925,169.7835,45.1415
20260610,01:00,145.9333,153.3838,-7.4505
20260610,02:00,65.6417,36.0723,29.5694
20260610,03:00,186.4667,175.9464,10.5203
20260610,04:00,124.7333,126.3156,-1.5823
20260610,05:00,104.7646,90.9628,13.8018
20260610,06:00,178.9842,160.669,18.3152
20260610,07:00,201.4654,223.1635,-21.6981
20260610,08:00,263.4032,253.4551,9.9481
20260610,09:00,145.9347,157.9113,-11.9766
20260610,10:00,140.2871,117.1783,23.1088
20260610,11:00,186.9628,151.1701,35.7927
20260610,12:00,275.0132,221.3585,53.6547
20260610,13:00,322.2095,288.2274,33.9821
20260610,14:00,173.8854,159.5106,14.3748
20260610,15:00,138.7782,126.8752,11.903
20260610,16:00,98.5367,95.4372,3.0995
20260610,17:00,157.7307,146.3257,11.405
20260610,18:00,91.4918,70.1217,21.3701
20260610,19:00,101.15,86.405,14.745
20260610,20:00,50.65,43.6259,7.0241
20260610,21:00,102.475,83.1274,19.3476
20260610,22:00,28.35,22.5,5.85
20260610,23:00,26.5,18.6176,7.8824
20260611,00:00,271.9333,240.5031,31.4302
20260611,01:00,82.5667,84.9573,-2.3906
20260611,02:00,57.025,49.6862,7.3388
20260611,03:00,177.0167,133.3583,43.6584
20260611,04:00,78.75,87.7445,-8.9945
20260611,05:00,59.5214,48.938,10.5834
20260611,06:00,99.7908,82.8769,16.9139
20260611,07:00,183.4877,197.6513,-14.1636
20260611,08:00,199.564,195.1087,4.4553
20260611,09:00,267.6562,234.4571,33.1991
20260611,10:00,171.6556,152.288,19.3676
20260611,11:00,163.9881,132.1207,31.8674
20260611,12:00,291.1001,224.113,66.9871
20260611,13:00,264.4408,255.4782,8.9626
20260611,14:00,147.3106,130.7683,16.5423
20260611,15:00,113.7759,102.7262,11.0497
20260611,16:00,222.0761,189.5891,32.487
20260611,17:00,198.655,194.7572,3.8978
20260611,18:00,107.4087,84.3963,23.0124
20260611,19:00,177.4332,146.5096,30.9236
20260611,20:00,142.775,93.2333,49.5417
20260611,21:00,76.925,58.3216,18.6034
20260611,22:00,9.525,4.5915,4.9335
20260611,23:00,12.525,9.7773,2.7477
20260612,00:00,229.8083,207.592,22.2163
20260612,01:00,109.325,92.9705,16.3545
20260612,02:00,42.325,36.8395,5.4855
20260612,03:00,96.2083,48.6559,47.5524
20260612,04:00,41.25,63.5116,-22.2616
20260612,05:00,61.5488,48.8728,12.676
20260612,06:00,121.3176,111.1013,10.2163
20260612,07:00,231.4501,237.5097,-6.0596
20260612,08:00,245.6422,245.6553,-0.0131
20260612,09:00,262.5387,238.4255,24.1132
20260612,10:00,222.606,179.4228,43.1832
20260612,11:00,334.4531,263.5495,70.9036
20260612,12:00,393.3017,337.4407,55.861
20260612,13:00,298.7734,274.0761,24.6973
20260612,14:00,71.8213,32.8763,38.945
20260612,15:00,81.1407,68.4856,12.6551
20260612,16:00,140.9901,126.0302,14.9599
20260612,17:00,109.3344,81.6274,27.707
20260612,18:00,102.8692,92.3871,10.4821
20260612,19:00,166.9659,141.5044,25.4615
20260612,20:00,115.1667,101.8109,13.3558
20260612,21:00,73.45,56.5999,16.8501
20260612,22:00,12.425,3.9184,8.5066
20260612,23:00,41.1,40.4471,0.6529
20260613,00:00,376.1167,331.1766,44.9401
20260613,01:00,132.175,124.4042,7.7708
20260613,02:00,64.5583,58.2651,6.2932
20260613,03:00,90.025,71.437,18.588
20260613,04:00,176.85,148.3217,28.5283
