日期,小时,总站总负载(度),订单充电量(度),拟合工厂用电(度),拟合工厂平均功率(kW)
20260608,00:00,289.6667,264.3135,50.4925,50.4925
20260608,01:00,137.9917,110.128,35.302,35.302
20260608,02:00,65.2083,56.4549,14.6299,14.6299
20260608,03:00,164.175,127.1783,38.1585,38.1585
20260608,04:00,78.525,74.2502,8.7056,8.7056
20260608,05:00,68.9777,65.2595,12.4331,12.4331
20260608,06:00,189.2264,161.1233,34.4338,34.4338
20260608,07:00,233.4504,205.2617,32.2857,32.2857
20260608,08:00,241.3844,181.958,62.6522,62.6522
20260608,09:00,288.0229,216.205,72.7773,72.7773
20260608,10:00,234.8843,138.1361,96.7482,96.7482
20260608,11:00,222.2342,141.4634,80.7708,80.7708
20260608,12:00,375.296,295.2719,80.0241,80.0241
20260608,13:00,361.2759,289.8377,72.4176,72.4176
20260608,14:00,183.7483,106.1281,77.6203,77.6203
20260608,15:00,139.8469,80.4177,59.4292,59.4292
20260608,16:00,148.7806,80.4074,68.3732,68.3732
20260608,17:00,160.246,79.5966,84.0268,84.0268
20260608,18:00,91.795,64.197,28.0498,28.0498
20260608,19:00,159.3167,147.9161,22.1322,22.1322
20260608,20:00,78.875,59.1511,21.989,21.989
20260608,21:00,44.95,37.7088,10.4711,10.4711
20260608,22:00,14.75,7.469,8.1551,8.1551
20260608,23:00,8.3,0.0,8.3,8.3
20260609,00:00,216.6833,202.3557,43.6945,43.6945
20260609,01:00,107.975,84.156,37.4148,37.4148
20260609,02:00,56.5167,62.6548,9.9764,9.9764
20260609,03:00,126.9583,103.6021,26.5906,26.5906
20260609,04:00,17.7667,16.2164,3.7085,3.7085
20260609,05:00,91.0611,74.6729,24.0003,24.0003
20260609,06:00,180.1855,145.7963,34.7876,34.7876
20260609,07:00,272.8909,242.6817,40.7918,40.7918
20260609,08:00,314.615,269.5499,45.0651,45.0651
20260609,09:00,271.1446,200.7479,70.3967,70.3967
20260609,10:00,286.7124,216.5967,76.0205,76.0205
20260609,11:00,233.6437,161.3491,77.2689,77.2689
20260609,12:00,321.6123,254.1161,69.1425,69.1425
20260609,13:00,375.2236,292.0083,83.7629,83.7629
20260609,14:00,242.6369,150.0631,92.5738,92.5738
20260609,15:00,172.8302,110.5059,62.3244,62.3244
20260609,16:00,130.2194,80.6246,49.5949,49.5949
20260609,17:00,161.3213,97.9642,64.8168,64.8168
20260609,18:00,46.3757,31.331,18.8874,18.8874
20260609,19:00,18.85,15.8975,6.6371,6.6371
20260609,20:00,89.225,76.1348,14.6453,14.6453
20260609,21:00,77.65,70.6116,13.8581,13.8581
20260609,22:00,66.05,54.6085,12.2881,12.2881
20260609,23:00,79.7,36.9728,44.3902,44.3902
20260610,00:00,214.925,169.7835,54.5436,54.5436
20260610,01:00,145.9333,153.3838,24.6605,24.6605
20260610,02:00,65.6417,36.0723,30.6541,30.6541
20260610,03:00,186.4667,175.9464,25.4473,25.4473
20260610,04:00,124.7333,126.3156,17.3477,17.3477
20260610,05:00,104.7646,90.9628,18.9729,18.9729
20260610,06:00,178.9842,160.669,19.7914,19.7914
20260610,07:00,251.4654,223.1635,33.8741,33.8741
20260610,08:00,313.4032,253.4551,63.176,63.176
20260610,09:00,195.9347,157.9113,41.7015,41.7015
20260610,10:00,190.2871,117.1783,73.1088,73.1088
20260610,11:00,236.9628,151.1701,85.7928,85.7928
20260610,12:00,275.0132,221.3585,53.6547,53.6547
20260610,13:00,372.2095,288.2274,83.9821,83.9821
20260610,14:00,223.8854,159.5106,64.3748,64.3748
20260610,15:00,188.7012,126.8752,63.1573,63.1573
20260610,16:00,148.5367,95.4372,56.8336,56.8336
20260610,17:00,207.7307,146.3257,61.4049,61.4049
20260610,18:00,91.4918,70.1217,22.8307,22.8307
